作业 16831428 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=5.00e-04) ---
    [train] iter 2500/4443  loss=0.3284
    [train] iter 2520/4443  loss=0.6065
    [train] iter 2540/4443  loss=0.5715
    [train] iter 2560/4443  loss=0.4878
    [train] iter 2580/4443  loss=0.4364
    [train] iter 2600/4443  loss=0.5014
    [train] iter 2620/4443  loss=0.4362
    [train] iter 2640/4443  loss=0.4783
    [train] iter 2660/4443  loss=0.4526
    [train] iter 2680/4443  loss=0.3436
    [train] iter 2700/4443  loss=0.4589
    [train] iter 2720/4443  loss=0.4634
    [train] iter 2740/4443  loss=0.4926
    [train] iter 2760/4443  loss=0.3334
    [train] iter 2780/4443  loss=0.3301
    [train] iter 2800/4443  loss=0.3437
    [train] iter 2820/4443  loss=0.4783
    [train] iter 2840/4443  loss=0.3335
    [train] iter 2860/4443  loss=0.3896
    [train] iter 2880/4443  loss=0.4265
    [train] iter 2900/4443  loss=0.3470
    [train] iter 2920/4443  loss=0.4189
    [train] iter 2940/4443  loss=0.3739
    [train] iter 2960/4443  loss=0.3792
    [train] iter 2980/4443  loss=0.4750
    [train] iter 3000/4443  loss=0.4076
    [train] iter 3020/4443  loss=0.4377
    [train] iter 3040/4443  loss=0.3354
    [train] iter 3060/4443  loss=0.4888
    [train] iter 3080/4443  loss=0.4369
    [train] iter 3100/4443  loss=0.3623
    [train] iter 3120/4443  loss=0.3919
    [train] iter 3140/4443  loss=0.3419
    [train] iter 3160/4443  loss=0.3955
    [train] iter 3180/4443  loss=0.3814
    [train] iter 3200/4443  loss=0.4307
    [train] iter 3220/4443  loss=0.4551
    [train] iter 3240/4443  loss=0.3727
    [train] iter 3260/4443  loss=0.4628
    [train] iter 3280/4443  loss=0.3841
    [train] iter 3300/4443  loss=0.3991
    [train] iter 3320/4443  loss=0.4356
    [train] iter 3340/4443  loss=0.3400
    [train] iter 3360/4443  loss=0.3911
    [train] iter 3380/4443  loss=0.2636
    [train] iter 3400/4443  loss=0.3280
    [train] iter 3420/4443  loss=0.4062
    [train] iter 3440/4443  loss=0.3104
    [train] iter 3460/4443  loss=0.3994
    [train] iter 3480/4443  loss=0.4363
    [train] iter 3500/4443  loss=0.4932
    [train] iter 3520/4443  loss=0.4802
    [train] iter 3540/4443  loss=0.3989
    [train] iter 3560/4443  loss=0.4131
    [train] iter 3580/4443  loss=0.3428
    [train] iter 3600/4443  loss=0.3936
    [train] iter 3620/4443  loss=0.4565
    [train] iter 3640/4443  loss=0.3271
    [train] iter 3660/4443  loss=0.5249
    [train] iter 3680/4443  loss=0.3781
    [train] iter 3700/4443  loss=0.2989
    [train] iter 3720/4443  loss=0.3088
    [train] iter 3740/4443  loss=0.4041
    [train] iter 3760/4443  loss=0.4266
    [train] iter 3780/4443  loss=0.4693
    [train] iter 3800/4443  loss=0.3950
    [train] iter 3820/4443  loss=0.3608
    [train] iter 3840/4443  loss=0.2284
    [train] iter 3860/4443  loss=0.3595
    [train] iter 3880/4443  loss=0.3383
    [train] iter 3900/4443  loss=0.4125
    [train] iter 3920/4443  loss=0.4570
    [train] iter 3940/4443  loss=0.3988
    [train] iter 3960/4443  loss=0.4327
    [train] iter 3980/4443  loss=0.4664
    [train] iter 4000/4443  loss=0.4484
    [train] iter 4020/4443  loss=0.4030
    [train] iter 4040/4443  loss=0.3717
    [train] iter 4060/4443  loss=0.3697
    [train] iter 4080/4443  loss=0.4042
    [train] iter 4100/4443  loss=0.3328
    [train] iter 4120/4443  loss=0.3738
    [train] iter 4140/4443  loss=0.2769
    [train] iter 4160/4443  loss=0.5323
    [train] iter 4180/4443  loss=0.3738
    [train] iter 4200/4443  loss=0.5405
    [train] iter 4220/4443  loss=0.4888
    [train] iter 4240/4443  loss=0.3533
    [train] iter 4260/4443  loss=0.4699
    [train] iter 4280/4443  loss=0.4051
