作业 17180024 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
    [train] iter 4340/15452  loss=0.3970
    [train] iter 4360/15452  loss=0.3288
    [train] iter 4380/15452  loss=0.3151
    [train] iter 4400/15452  loss=0.4838
    [train] iter 4420/15452  loss=0.4414
    [train] iter 4440/15452  loss=0.3877
    [train] iter 4460/15452  loss=0.4128
    [train] iter 4480/15452  loss=0.3569
    [train] iter 4500/15452  loss=0.4112
    [train] iter 4520/15452  loss=0.4541
    [train] iter 4540/15452  loss=0.3792
    [train] iter 4560/15452  loss=0.3616
    [train] iter 4580/15452  loss=0.4897
    [train] iter 4600/15452  loss=0.4769
    [train] iter 4620/15452  loss=0.4251
    [train] iter 4640/15452  loss=0.4275
    [train] iter 4660/15452  loss=0.3455
    [train] iter 4680/15452  loss=0.3277
    [train] iter 4700/15452  loss=0.4707
    [train] iter 4720/15452  loss=0.4493
    [train] iter 4740/15452  loss=0.4226
    [train] iter 4760/15452  loss=0.3771
    [train] iter 4780/15452  loss=0.4452
    [train] iter 4800/15452  loss=0.4826
    [train] iter 4820/15452  loss=0.4586
    [train] iter 4840/15452  loss=0.3231
    [train] iter 4860/15452  loss=0.4229
    [train] iter 4880/15452  loss=0.3903
    [train] iter 4900/15452  loss=0.3941
    [train] iter 4920/15452  loss=0.4605
    [train] iter 4940/15452  loss=0.4051
    [train] iter 4960/15452  loss=0.3619
    [train] iter 4980/15452  loss=0.4720
    [train] iter 5000/15452  loss=0.4195
    [train] iter 5020/15452  loss=0.3390
    [train] iter 5040/15452  loss=0.3824
    [train] iter 5060/15452  loss=0.3307
    [train] iter 5080/15452  loss=0.3749
    [train] iter 5100/15452  loss=0.4362
    [train] iter 5120/15452  loss=0.4096
    [train] iter 5140/15452  loss=0.5554
    [train] iter 5160/15452  loss=0.3770
    [train] iter 5180/15452  loss=0.4761
    [train] iter 5200/15452  loss=0.4689
    [train] iter 5220/15452  loss=0.3694
    [train] iter 5240/15452  loss=0.3889
    [train] iter 5260/15452  loss=0.3242
    [train] iter 5280/15452  loss=0.2994
    [train] iter 5300/15452  loss=0.3511
    [train] iter 5320/15452  loss=0.3803
    [train] iter 5340/15452  loss=0.3207
    [train] iter 5360/15452  loss=0.3917
    [train] iter 5380/15452  loss=0.4274
    [train] iter 5400/15452  loss=0.4818
    [train] iter 5420/15452  loss=0.2756
    [train] iter 5440/15452  loss=0.3043
    [train] iter 5460/15452  loss=0.3818
    [train] iter 5480/15452  loss=0.2686
    [train] iter 5500/15452  loss=0.3133
    [train] iter 5520/15452  loss=0.4524
    [train] iter 5540/15452  loss=0.4918
    [train] iter 5560/15452  loss=0.4258
    [train] iter 5580/15452  loss=0.3794
    [train] iter 5600/15452  loss=0.4480
    [train] iter 5620/15452  loss=0.4302
    [train] iter 5640/15452  loss=0.3389
    [train] iter 5660/15452  loss=0.3274
    [train] iter 5680/15452  loss=0.4837
    [train] iter 5700/15452  loss=0.3982
    [train] iter 5720/15452  loss=0.4687
    [train] iter 5740/15452  loss=0.3458
    [train] iter 5760/15452  loss=0.4445
    [train] iter 5780/15452  loss=0.3908
    [train] iter 5800/15452  loss=0.3053
    [train] iter 5820/15452  loss=0.3266
    [train] iter 5840/15452  loss=0.4438
    [train] iter 5860/15452  loss=0.4140
    [train] iter 5880/15452  loss=0.3300
    [train] iter 5900/15452  loss=0.3806
    [train] iter 5920/15452  loss=0.4612
    [train] iter 5940/15452  loss=0.5490
    [train] iter 5960/15452  loss=0.4704
    [train] iter 5980/15452  loss=0.3705
    [train] iter 6000/15452  loss=0.4026
    [train] iter 6020/15452  loss=0.4386
    [train] iter 6040/15452  loss=0.4857
    [train] iter 6060/15452  loss=0.5176
    [train] iter 6080/15452  loss=0.3356
    [train] iter 6100/15452  loss=0.4840
    [train] iter 6120/15452  loss=0.4882
    [train] iter 6140/15452  loss=0.4264
    [train] iter 6160/15452  loss=0.4106
    [train] iter 6180/15452  loss=0.3373
    [train] iter 6200/15452  loss=0.2442
    [train] iter 6220/15452  loss=0.6809
    [train] iter 6240/15452  loss=0.4828
    [train] iter 6260/15452  loss=0.4371
    [train] iter 6280/15452  loss=0.2886
    [train] iter 6300/15452  loss=0.3349
    [train] iter 6320/15452  loss=0.3382
    [train] iter 6340/15452  loss=0.3359
    [train] iter 6360/15452  loss=0.4685
    [train] iter 6380/15452  loss=0.3996
    [train] iter 6400/15452  loss=0.4372
    [train] iter 6420/15452  loss=0.4058
    [train] iter 6440/15452  loss=0.2964
    [train] iter 6460/15452  loss=0.3668
    [train] iter 6480/15452  loss=0.4622
    [train] iter 6500/15452  loss=0.3244
    [train] iter 6520/15452  loss=0.4082
    [train] iter 6540/15452  loss=0.4193
    [train] iter 6560/15452  loss=0.4107
    [train] iter 6580/15452  loss=0.3997
    [train] iter 6600/15452  loss=0.4006
    [train] iter 6620/15452  loss=0.3599
    [train] iter 6640/15452  loss=0.2827
    [train] iter 6660/15452  loss=0.5055
    [train] iter 6680/15452  loss=0.4548
    [train] iter 6700/15452  loss=0.5653
    [train] iter 6720/15452  loss=0.3397
    [train] iter 6740/15452  loss=0.3174
    [train] iter 6760/15452  loss=0.4256
    [train] iter 6780/15452  loss=0.4257
    [train] iter 6800/15452  loss=0.4024
    [train] iter 6820/15452  loss=0.3664
    [train] iter 6840/15452  loss=0.3916
    [train] iter 6860/15452  loss=0.3704
    [train] iter 6880/15452  loss=0.3838
    [train] iter 6900/15452  loss=0.4576
    [train] iter 6920/15452  loss=0.3276
    [train] iter 6940/15452  loss=0.3317
    [train] iter 6960/15452  loss=0.2839
    [train] iter 6980/15452  loss=0.2875
    [train] iter 7000/15452  loss=0.4622
    [train] iter 7020/15452  loss=0.4065
    [train] iter 7040/15452  loss=0.4854
    [train] iter 7060/15452  loss=0.3007
    [train] iter 7080/15452  loss=0.4033
    [train] iter 7100/15452  loss=0.5055
    [train] iter 7120/15452  loss=0.3639
    [train] iter 7140/15452  loss=0.4056
    [train] iter 7160/15452  loss=0.4191
    [train] iter 7180/15452  loss=0.3915
    [train] iter 7200/15452  loss=0.4219
    [train] iter 7220/15452  loss=0.2709
    [train] iter 7240/15452  loss=0.3497
    [train] iter 7260/15452  loss=0.4341
    [train] iter 7280/15452  loss=0.4874
    [train] iter 7300/15452  loss=0.3689
    [train] iter 7320/15452  loss=0.4836
    [train] iter 7340/15452  loss=0.3142
    [train] iter 7360/15452  loss=0.5583
    [train] iter 7380/15452  loss=0.4197
    [train] iter 7400/15452  loss=0.4097
    [train] iter 7420/15452  loss=0.3639
    [train] iter 7440/15452  loss=0.4060
    [train] iter 7460/15452  loss=0.6093
    [train] iter 7480/15452  loss=0.5174
    [train] iter 7500/15452  loss=0.5233
    [train] iter 7520/15452  loss=0.4024
    [train] iter 7540/15452  loss=0.3410
    [train] iter 7560/15452  loss=0.4507
    [train] iter 7580/15452  loss=0.4039
    [train] iter 7600/15452  loss=0.3402
    [train] iter 7620/15452  loss=0.3500
    [train] iter 7640/15452  loss=0.3737
    [train] iter 7660/15452  loss=0.4155
    [train] iter 7680/15452  loss=0.3372
    [train] iter 7700/15452  loss=0.3285
    [train] iter 7720/15452  loss=0.3053
    [train] iter 7740/15452  loss=0.3818
    [train] iter 7760/15452  loss=0.3767
    [train] iter 7780/15452  loss=0.3667
    [train] iter 7800/15452  loss=0.4880
    [train] iter 7820/15452  loss=0.3818
    [train] iter 7840/15452  loss=0.4434
    [train] iter 7860/15452  loss=0.3914
    [train] iter 7880/15452  loss=0.4033
    [train] iter 7900/15452  loss=0.3312
    [train] iter 7920/15452  loss=0.3393
    [train] iter 7940/15452  loss=0.4396
    [train] iter 7960/15452  loss=0.3500
    [train] iter 7980/15452  loss=0.4595
    [train] iter 8000/15452  loss=0.4252
    [train] iter 8020/15452  loss=0.3248
    [train] iter 8040/15452  loss=0.3270
    [train] iter 8060/15452  loss=0.3532
    [train] iter 8080/15452  loss=0.4723
    [train] iter 8100/15452  loss=0.4943
    [train] iter 8120/15452  loss=0.3387
    [train] iter 8140/15452  loss=0.4103
    [train] iter 8160/15452  loss=0.4681
    [train] iter 8180/15452  loss=0.2738
    [train] iter 8200/15452  loss=0.3815
    [train] iter 8220/15452  loss=0.3259
    [train] iter 8240/15452  loss=0.3454
    [train] iter 8260/15452  loss=0.4308
    [train] iter 8280/15452  loss=0.3344
    [train] iter 8300/15452  loss=0.4609
    [train] iter 8320/15452  loss=0.4137
    [train] iter 8340/15452  loss=0.3486
    [train] iter 8360/15452  loss=0.5054
    [train] iter 8380/15452  loss=0.3972
    [train] iter 8400/15452  loss=0.2382
    [train] iter 8420/15452  loss=0.3979
    [train] iter 8440/15452  loss=0.4310
    [train] iter 8460/15452  loss=0.5039
    [train] iter 8480/15452  loss=0.3555
    [train] iter 8500/15452  loss=0.2997
    [train] iter 8520/15452  loss=0.5161
    [train] iter 8540/15452  loss=0.3276
    [train] iter 8560/15452  loss=0.4793
    [train] iter 8580/15452  loss=0.3848
    [train] iter 8600/15452  loss=0.3418
    [train] iter 8620/15452  loss=0.5007
    [train] iter 8640/15452  loss=0.4150
    [train] iter 8660/15452  loss=0.5709
    [train] iter 8680/15452  loss=0.4967
    [train] iter 8700/15452  loss=0.3129
    [train] iter 8720/15452  loss=0.3112
    [train] iter 8740/15452  loss=0.4244
    [train] iter 8760/15452  loss=0.2457
    [train] iter 8780/15452  loss=0.2329
    [train] iter 8800/15452  loss=0.1473
    [train] iter 8820/15452  loss=0.2583
    [train] iter 8840/15452  loss=0.1677
    [train] iter 8860/15452  loss=0.2678
    [train] iter 8880/15452  loss=0.2516
    [train] iter 8900/15452  loss=0.2701
    [train] iter 8920/15452  loss=0.2608
    [train] iter 8940/15452  loss=0.2674
    [train] iter 8960/15452  loss=0.3950
    [train] iter 8980/15452  loss=0.2285
    [train] iter 9000/15452  loss=0.3877
    [train] iter 9020/15452  loss=0.3063
    [train] iter 9040/15452  loss=0.2851
    [train] iter 9060/15452  loss=0.2202
    [train] iter 9080/15452  loss=0.3511
    [train] iter 9100/15452  loss=0.2209
    [train] iter 9120/15452  loss=0.2151
    [train] iter 9140/15452  loss=0.1883
    [train] iter 9160/15452  loss=0.4006
    [train] iter 9180/15452  loss=0.2751
    [train] iter 9200/15452  loss=0.1407
    [train] iter 9220/15452  loss=0.2972
    [train] iter 9240/15452  loss=0.2206
    [train] iter 9260/15452  loss=0.2989
    [train] iter 9280/15452  loss=0.1741
    [train] iter 9300/15452  loss=0.1543
    [train] iter 9320/15452  loss=0.3081
    [train] iter 9340/15452  loss=0.1872
    [train] iter 9360/15452  loss=0.1253
    [train] iter 9380/15452  loss=0.2274
    [train] iter 9400/15452  loss=0.2725
    [train] iter 9420/15452  loss=0.3988
    [train] iter 9440/15452  loss=0.2362
    [train] iter 9460/15452  loss=0.1843
    [train] iter 9480/15452  loss=0.2199
    [train] iter 9500/15452  loss=0.3155
    [train] iter 9520/15452  loss=0.1875
    [train] iter 9540/15452  loss=0.2011
    [train] iter 9560/15452  loss=0.2739
    [train] iter 9580/15452  loss=0.2604
    [train] iter 9600/15452  loss=0.2427
    [train] iter 9620/15452  loss=0.2347
    [train] iter 9640/15452  loss=0.1787
    [train] iter 9660/15452  loss=0.2974
    [train] iter 9680/15452  loss=0.3248
    [train] iter 9700/15452  loss=0.4121
    [train] iter 9720/15452  loss=0.1764
    [train] iter 9740/15452  loss=0.2879
    [train] iter 9760/15452  loss=0.1739
    [train] iter 9780/15452  loss=0.2738
    [train] iter 9800/15452  loss=0.1975
    [train] iter 9820/15452  loss=0.3240
    [train] iter 9840/15452  loss=0.1340
    [train] iter 9860/15452  loss=0.3187
    [train] iter 9880/15452  loss=0.1619
    [train] iter 9900/15452  loss=0.2990
    [train] iter 9920/15452  loss=0.3026
    [train] iter 9940/15452  loss=0.3595
    [train] iter 9960/15452  loss=0.3100
    [train] iter 9980/15452  loss=0.2895
    [train] iter 10000/15452  loss=0.2833
    [train] iter 10020/15452  loss=0.2160
    [train] iter 10040/15452  loss=0.2251
    [train] iter 10060/15452  loss=0.2510
    [train] iter 10080/15452  loss=0.1732
    [train] iter 10100/15452  loss=0.2914
    [train] iter 10120/15452  loss=0.3522
    [train] iter 10140/15452  loss=0.2168
    [train] iter 10160/15452  loss=0.2628
    [train] iter 10180/15452  loss=0.1776
    [train] iter 10200/15452  loss=0.3440
    [train] iter 10220/15452  loss=0.1807
    [train] iter 10240/15452  loss=0.2767
    [train] iter 10260/15452  loss=0.2474
    [train] iter 10280/15452  loss=0.3626
    [train] iter 10300/15452  loss=0.3635
    [train] iter 10320/15452  loss=0.2538
    [train] iter 10340/15452  loss=0.3078
    [train] iter 10360/15452  loss=0.2313
    [train] iter 10380/15452  loss=0.1637
    [train] iter 10400/15452  loss=0.3226
    [train] iter 10420/15452  loss=0.2459
